Date;Iridium - Hong Kong 8:30;Iridium – Hong Kong 14:00;Iridium – London 09:00;Iridium – New York 9:30;Palladium - Hong Kong 8:30;Palladium – Hong Kong 14:00;Palladium – London 09:00;Palladium – New York 9:30;Platinum – Hong Kong 8:30;Platinum – Hong Kong 14:00;Platinum – London 09:00;Platinum – New York 9:30;Rhodium - Hong Kong 8:30;Rhodium – Hong Kong 14:00;Rhodium – London 09:00;Rhodium – New York 9:30;Ruthenium - Hong Kong 8:30;Ruthenium – Hong Kong 14:00;Ruthenium – London 09:00;Ruthenium – New York 9:30
2018-01-01;970;970;970;;1073;1073;1070;;930;931;933;;1715;1715;1715;;190;190;190;
2017-12-29;970;970;970;;1073;1073;1070;;930;931;933;;1715;1715;1715;;190;190;190;
2017-12-28;970;970;970;970;1070;1070;1065;1065;925;929;930;927;1715;1715;1715;1715;190;190;190;190
2017-12-27;970;970;970;;1062;1063;1071;;927;926;929;;1715;1715;1715;;190;190;190;
2017-12-26;;;;970;;;;1053;;;;923;;;;1715;;;;190
2017-12-22;970;970;970;970;1043;1043;1046;1042;918;918;923;922;1685;1685;1685;1700;190;190;190;190
2017-12-21;970;970;970;970;1035;1034;1036;1037;924;921;920;920;1675;1675;1675;1685;190;190;190;190
2017-12-20;970;970;970;970;1030;1029;1037;1034;916;916;922;923;1610;1610;1610;1675;190;190;190;190
2017-12-19;970;970;970;970;1028;1028;1026;1021;913;914;913;915;1580;1580;1580;1610;190;190;190;190
2017-12-18;970;970;970;970;1030;1032;1030;1020;898;899;901;910;1560;1560;1560;1580;190;190;190;190
2017-12-15;970;970;970;970;1039;1039;1041;1030;886;884;886;886;1550;1550;1550;1560;190;190;190;190
2017-12-14;970;970;970;970;1025;1025;1025;1021;892;893;887;885;1540;1540;1540;1550;190;190;190;190
2017-12-13;970;970;970;970;1020;1019;1020;1011;885;884;882;878;1540;1540;1540;1540;190;190;190;190
2017-12-12;970;970;970;970;1016;1018;1014;1007;891;893;890;879;1540;1540;1540;1540;190;190;190;190
2017-12-11;970;970;970;970;1015;1016;1021;1010;895;895;896;887;1540;1540;1540;1540;190;190;190;190
2017-12-08;970;970;970;970;1022;1022;1024;1012;898;900;903;894;1540;1540;1540;1540;190;190;190;190
2017-12-07;970;970;970;970;1002;1003;1008;1015;907;905;902;901;1540;1540;1540;1540;185;185;190;190
2017-12-06;970;970;970;970;994;995;996;995;920;920;915;907;1540;1540;1540;1540;180;180;185;185
2017-12-05;970;970;970;970;1008;1005;1004;994;933;931;927;918;1530;1530;1540;1540;170;170;175;180
2017-12-04;970;970;970;970;1029;1028;1026;1020;939;939;940;931;1530;1530;1530;1530;165;165;170;170
2017-12-01;970;970;970;970;1018;1017;1018;1017;945;943;947;936;1530;1530;1530;1530;165;165;165;165
2017-11-30;970;970;970;;1027;1027;1020;;945;950;946;;1515;1515;1530;;165;165;165;
2017-11-29;970;970;970;970;1033;1034;1030;1018;952;953;956;949;1500;1500;1500;1500;160;160;160;165
2017-11-28;970;970;970;970;1015;1013;1006;1018;954;953;951;955;1500;1500;1500;1500;160;160;160;160
2017-11-27;970;970;970;970;1007;1003;1002;1004;945;944;948;951;1500;1500;1500;1500;160;160;160;160
2017-11-24;970;970;970;970;1017;1017;1017;1007;940;940;941;943;1500;1500;1500;1500;150;150;150;160
2017-11-23;970;970;970;970;1010;1009;1009;1010;941;939;940;938;1500;1500;1500;1500;145;145;145;150
2017-11-22;970;970;970;970;1009;1008;1009;1005;937;937;938;941;1500;1500;1500;1500;130;130;130;145
2017-11-21;970;970;970;970;997;997;998;998;931;932;933;933;1515;1515;1515;1500;130;130;130;130
2017-11-20;970;970;970;970;1000;1000;1002;999;951;948;948;938;1515;1515;1515;1515;130;130;130;130
2017-11-17;970;970;970;970;996;998;999;997;936;938;938;943;1475;1475;1500;1515;130;130;130;130
2017-11-16;970;970;970;970;992;989;992;987;935;934;936;934;1450;1450;1450;1475;125;125;125;130
2017-11-15;970;970;970;970;997;995;987;984;930;931;934;938;1450;1450;1450;1450;125;125;125;125
2017-11-14;970;970;970;970;1001;999;997;992;936;936;933;929;1350;1350;1375;1425;125;125;125;125
2017-11-13;970;970;970;970;1005;1006;1000;996;934;937;934;936;1320;1320;1350;1350;125;125;125;125
2017-11-10;970;970;970;970;1020;1015;1017;1003;940;940;941;939;1300;1300;1300;1300;125;125;125;125
2017-11-09;970;970;970;970;1021;1023;1026;1018;933;936;937;933;1330;1330;1300;1300;125;125;125;125
2017-11-08;970;970;970;970;1004;1003;1005;1006;930;930;933;933;1355;1355;1330;1330;120;120;125;125
2017-11-07;970;970;970;970;1005;1005;1003;1001;935;935;933;930;1380;1380;1380;1355;120;120;120;120
2017-11-06;970;970;970;970;1006;1007;1009;998;924;925;927;919;1410;1410;1380;1380;120;120;120;120
2017-11-03;970;970;970;970;1004;1006;1002;1000;931;931;928;927;1450;1450;1425;1410;120;120;120;120
2017-11-02;970;970;970;970;1009;1009;1000;1009;936;936;933;936;1480;1480;1480;1450;105;105;105;120
2017-11-01;970;970;970;970;989;993;1000;1001;923;928;931;932;1510;1510;1480;1480;100;100;105;105
2017-10-31;970;970;970;;974;979;979;;924;927;925;;1525;1525;1525;;95;95;95;
2017-10-30;970;970;970;970;976;976;980;970;919;919;921;920;1550;1550;1525;1525;95;95;95;95
2017-10-27;970;970;970;970;974;972;969;970;920;917;921;920;1620;1620;1590;1550;90;90;90;90
2017-10-26;970;970;970;970;971;972;972;970;928;930;924;924;1650;1650;1650;1635;90;90;90;90
2017-10-25;970;970;970;970;970;965;962;972;925;923;918;920;1650;1650;1650;1650;90;90;90;90
2017-10-24;970;970;970;970;968;972;965;963;931;929;927;922;1590;1590;1605;1650;88;88;90;90
2017-10-23;970;970;970;970;978;977;970;968;922;924;923;917;1575;1575;1575;1590;88;88;88;88
2017-10-20;970;970;970;970;967;969;971;977;927;926;922;922;1525;1525;1550;1575;85;85;85;88
2017-10-19;970;970;970;970;967;967;966;955;926;922;928;924;1475;1475;1475;1525;85;85;85;85
2017-10-18;970;970;970;970;989;989;989;980;938;934;931;927;1425;1425;1440;1475;80;80;80;85
2017-10-17;970;970;970;970;981;983;989;991;934;934;935;930;1360;1360;1375;1425;80;80;80;80
2017-10-16;970;970;970;970;997;999;1013;1005;947;946;948;945;1320;1320;1320;1360;80;80;80;80
2017-10-13;970;970;970;970;982;986;984;996;941;941;943;944;1300;1300;1300;1315;78;78;80;80
2017-10-12;970;970;970;970;968;964;966;980;937;937;941;940;1260;1260;1270;1300;78;78;78;78
2017-10-11;970;970;970;970;944;944;944;949;937;937;936;934;1240;1240;1250;1260;78;78;78;78
2017-10-10;970;970;970;970;933;936;936;939;919;924;927;929;1230;1230;1240;1240;78;78;78;78
2017-10-09;970;970;970;970;930;931;931;927;918;922;921;916;1220;1220;1230;1230;75;75;78;78
2017-10-06;970;970;970;970;947;946;947;947;917;918;922;914;1220;1220;1220;1220;75;75;75;75
2017-10-05;;;970;970;;;930;932;;;918;915;;;1210;1220;;;70;75
2017-10-04;970;970;970;970;929;930;924;922;919;922;920;915;1185;1185;1200;1200;70;70;70;70
