"Month";"Austria";"Belgium";"Croatia";"Cyprus";"Czech Republic";"Denmark";"Estonia";"Finland";"France";"Germany (until 1990 former territory of the FRG)";"Greece";"Hungary";"Iceland";"Ireland";"Italy";"Latvia";"Lithuania";"Luxembourg";"Malta";"Netherlands";"Norway";"Poland";"Portugal";"Romania";"Slovakia";"Slovenia";"Spain";"Sweden";"Switzerland";"United Kingdom"
"1997-01";?0.1;13.1;;1.4;;4.9;;8.2;1.8;2.6;9.8;;?1.1;1.7;7.6;17.0;12.7;1.4;?1.6;2.8;2.7;25.1;4.1;;9.1;;5.5;3.1;;3.3
"1997-02";1.9;13.3;;2.9;;3.8;;3.4;1.7;2.4;9.7;;0.2;1.9;6.9;16.3;12.6;1.6;?1.6;2.8;2.7;25.2;4.2;;8.3;;5.5;7.0;;2.5
"1997-03";?1.1;13.3;;2.9;;3.7;;3.4;1.6;3.0;10.8;;0.1;0.5;3.1;14.5;11.2;1.5;?1.6;4.7;3.3;24.4;4.3;;7.2;;5.6;6.6;;2.5
"1997-04";?6.3;9.6;;2.9;;3.7;;3.4;1.5;2.5;10.7;;?1.4;1.2;3.2;10.9;9.6;1.2;?0.7;4.7;2.6;24.8;3.9;;6.6;;5.9;6.2;;2.6
"1997-05";?2.6;7.8;;2.9;;3.5;;3.4;1.3;2.6;11.2;;?2.5;1.1;5.1;8.7;9.2;1.4;?0.7;1.7;3.4;24.9;3.8;;6.5;;5.3;6.9;;4.4
"1997-06";?6.6;5.9;;1.4;;4.6;;3.4;1.5;0.4;10.9;;?2.2;1.5;5.9;8.1;7.3;1.3;?0.7;1.7;2.5;28.0;3.8;;5.4;;5.3;7.9;;2.8
"1997-07";?9.5;5.4;;2.9;;4.6;;3.4;1.1;1.1;10.9;;?1.3;1.8;4.9;7.8;8.5;1.7;?0.6;2.2;2.2;24.9;3.9;;6.3;;5.3;7.3;;3.1
"1997-08";?5.6;4.5;;2.5;;2.0;;3.4;0.9;1.1;10.9;;?1.1;4.0;4.9;8.0;8.6;1.3;?0.6;2.2;2.5;21.2;3.8;;6.4;;5.3;8.5;;4.2
"1997-09";?3.4;1.9;;2.6;;1.9;;3.4;0.5;1.3;8.0;;?0.2;3.6;2.7;7.2;6.0;1.0;?0.6;2.2;2.0;21.3;3.8;;6.7;;3.4;9.8;;4.5
"1997-10";1.2;2.0;;2.6;;2.2;;3.4;0.2;1.5;8.1;;?0.1;5.1;3.2;3.7;5.5;1.5;0.6;2.4;?2.0;20.5;?1.7;;7.8;;3.3;9.1;;4.0
